name,cpu,gpu,batteryWh,weightKg,screenInch,resW,resH,totalPixels,gpuScore,cpuSingle,cpuMulti,hasDiscreteGpu,isAmd,isIntel,isApple,normBattery,normWeight,normScreen,normResolution,normGpuScore,normCpuMulti,normCpuSingle,category,link
Apple MacBook Pro 14 M5 Pro,Apple M5 Pro,Apple M5 Pro GPU 16-core,72.400,1.600,14.200,3024,1964,5939136,4230.000,26414.000,76317.000,0,0,0,1,0.5241,0.6812,0.2400,0.5412,0.9767,0.3130,0.8615,null,https://laplap.tech/device/145
Apple MacBook Pro 16 M5 Max,Apple M5 Max,Apple M5 Max GPU 40-core,99.600,2.150,16.200,2234,3456,7720704,4300.000,30016.000,146627.000,0,0,0,1,0.9931,0.4939,0.6400,0.7906,1.0000,0.6273,1.0000,null,https://laplap.tech/device/144
Apple MacBook Air 13 M5,Apple M5,Apple M5,53.800,1.230,13.600,1664,2560,4259840,4038.000,14547.000,40780.000,0,0,0,1,0.2034,0.8072,0.1200,0.3061,0.9128,0.1541,0.4050,null,https://laplap.tech/device/143
Apple MacBook Pro 14 M5 Max,Apple M5 Max,Apple M5 Max GPU 32-core,72.400,1.620,14.200,1964,3024,5939136,0.000,0.000,0.000,0,0,0,1,0.5241,0.6744,0.2400,0.5412,0.0000,0.0000,0.0000,null,https://laplap.tech/device/142
Lenovo ThinkPad X9 15p Aura Edition,Intel Core Ultra X7 358H,Intel Arc B390,88.000,1.500,15.300,2880,1800,5184000,2762.000,15328.000,50115.000,0,0,1,0,0.7931,0.7153,0.4600,0.4355,0.4884,0.1958,0.4350,null,https://laplap.tech/device/140
ASUS Zenbook Duo (2026),Intel Core Ultra X9 388H,Intel Arc B390,99.000,1.650,14.000,2880,1800,5184000,2959.000,17028.000,55392.000,0,0,1,0,0.9828,0.6642,0.2000,0.4355,0.5539,0.2194,0.5004,null,https://laplap.tech/device/138
HP OmniBook X Flip Core Ultra 5 226V,Intel Core Ultra 5 226V,Intel Arc Graphics 140V (tích hợp),60.000,1.600,14.000,1900,1200,2280000,0.000,0.000,0.000,0,0,1,0,0.3103,0.6812,0.2000,0.0289,0.0000,0.0000,0.0000,null,https://laplap.tech/device/136
Asus Zenbook S 16,AMD Ryzen AI 9 465,AMD Radeon 880M (tích hợp),83.000,1.500,16.000,2880,1800,5184000,2678.000,13241.000,30513.000,0,1,0,0,0.7069,0.7153,0.6000,0.4355,0.4604,0.1082,0.3548,null,https://laplap.tech/device/134
Lenovo ThinkPad P1 Gen 8,Intel Core Ultra 9 285H,NVIDIA RTX Pro 2000,90.000,1.840,16.000,3840,2400,9216000,2597.000,16328.000,102979.000,0,0,1,0,0.8276,0.5995,0.6000,1.0000,0.4335,0.4322,0.4735,null,https://laplap.tech/device/133
ASUS Zenbook 14 OLED,AMD Ryzen AI 7 445,AMD Radeon 840M,75.000,1.200,14.000,1920,1200,2304000,2582.000,10199.000,13624.000,0,1,0,0,0.5690,0.8174,0.2000,0.0323,0.4285,0.0327,0.2377,null,https://laplap.tech/device/131
Acer Predator Triton 14 (2025),Intel Core Ultra 9 288V,RTX 5070 Mobile,76.000,1.597,14.000,2880,1800,5184000,2612.000,9782.000,123246.000,0,0,1,0,0.5862,0.6822,0.2000,0.4355,0.4385,0.5228,0.2217,null,https://laplap.tech/device/130
Lenovo ThinkPad X1 2-in-1 Gen 10 Aura Edition,Intel Core Ultra 7 255U,Intel Graphics,57.000,1.350,14.000,2880,1880,5414400,2443.000,9806.000,20144.000,0,0,1,0,0.2586,0.7663,0.2000,0.4677,0.3822,0.0618,0.2226,null,https://laplap.tech/device/124
Apple MacBook Pro M5,Apple M5,Apple M5,72.400,1.527,14.200,3024,1964,5939136,4203.000,17396.000,48328.000,0,0,0,1,0.5241,0.7061,0.2400,0.5412,0.9677,0.1878,0.5146,null,https://laplap.tech/device/122
HP OmniBook 5 AI 16,Intel Core Ultra 5 225U,Intel Graphics,58.100,1.725,16.000,1920,1200,2304000,2372.000,9846.000,19077.000,0,0,1,0,0.2776,0.6386,0.6000,0.0323,0.3586,0.0571,0.2242,null,https://laplap.tech/device/121
Gigabyte Gaming A16 (2025),Intel Core i7-13620H,NVIDIA RTX 5060,76.000,2.200,16.000,2560,1600,4096000,2459.000,10731.000,93323.000,0,0,1,0,0.5862,0.4768,0.6000,0.2832,0.3876,0.3890,0.2582,null,https://laplap.tech/device/120
Lenovo ThinkPad E14 Gen 7,Intel Core Ultra 7 255H,Intel Arc Graphics 140T (tích hợp),64.000,1.340,14.000,1920,1200,2304000,2784.000,11568.000,30677.000,0,0,1,0,0.3793,0.7698,0.2000,0.0323,0.4957,0.1089,0.2904,null,https://laplap.tech/device/119
